epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,33028,0.8583,0.37189,0.80509,0.82769,0.81337,0.83596,0.59049,0.79367,0.33225,0.77245,0.000120621,0.000120621,0.000120621
85,33423.3,0.85425,0.37188,0.80392,0.82695,0.814,0.83719,0.59113,0.79288,0.33262,0.77235,0.000111547,0.000111547,0.000111547
86,33825.6,0.85535,0.36861,0.80263,0.82526,0.81538,0.83747,0.591,0.79247,0.33215,0.77235,0.000102819,0.000102819,0.000102819
87,34248.3,0.85895,0.37054,0.80409,0.82477,0.81537,0.83762,0.59105,0.79197,0.33228,0.77235,9.44442e-05,9.44442e-05,9.44442e-05
88,34665.9,0.85149,0.36873,0.80388,0.8236,0.81745,0.83729,0.59105,0.79174,0.33206,0.7722,8.643e-05,8.643e-05,8.643e-05
89,35079.3,0.85473,0.36882,0.80363,0.82718,0.81353,0.83679,0.5911,0.79154,0.33193,0.77218,7.87834e-05,7.87834e-05,7.87834e-05
90,35473.2,0.84932,0.3677,0.80393,0.83036,0.81129,0.83705,0.59122,0.79114,0.33159,0.7722,7.15112e-05,7.15112e-05,7.15112e-05
91,35871.8,0.84429,0.36527,0.80424,0.82974,0.81231,0.83763,0.59126,0.79088,0.33184,0.77227,6.46197e-05,6.46197e-05,6.46197e-05
92,36263,0.85023,0.36794,0.80298,0.83034,0.81267,0.83795,0.59153,0.79081,0.33131,0.77224,5.81151e-05,5.81151e-05,5.81151e-05
93,36654.3,0.84143,0.36284,0.80246,0.83063,0.81252,0.83732,0.59137,0.79049,0.33127,0.77221,5.20029e-05,5.20029e-05,5.20029e-05
94,37037.8,0.84899,0.36697,0.80173,0.83047,0.81255,0.83756,0.59187,0.79044,0.33096,0.7722,4.62886e-05,4.62886e-05,4.62886e-05
95,37424.4,0.86282,0.37086,0.80263,0.83081,0.81159,0.83764,0.59192,0.79046,0.3311,0.77212,4.09773e-05,4.09773e-05,4.09773e-05
96,37820.3,0.84941,0.36426,0.80417,0.82929,0.81237,0.83813,0.59176,0.79038,0.33106,0.77208,3.60735e-05,3.60735e-05,3.60735e-05
97,38181.3,0.80597,0.34503,0.79879,0.82885,0.81241,0.83806,0.59164,0.79104,0.33145,0.77218,3.15815e-05,3.15815e-05,3.15815e-05
98,38534.4,0.80092,0.3422,0.79884,0.82698,0.81284,0.83732,0.5911,0.79154,0.33132,0.77229,2.75054e-05,2.75054e-05,2.75054e-05
99,38892.2,0.79831,0.34086,0.80051,0.82542,0.81442,0.83743,0.5909,0.79204,0.33153,0.77239,2.38487e-05,2.38487e-05,2.38487e-05
100,39245.8,0.80368,0.34139,0.79835,0.82548,0.81518,0.83713,0.59082,0.79222,0.33156,0.77239,2.06145e-05,2.06145e-05,2.06145e-05
101,39593.1,0.78704,0.33385,0.79803,0.82533,0.81498,0.83703,0.59079,0.79265,0.33163,0.77243,1.78059e-05,1.78059e-05,1.78059e-05
102,39938.3,0.8022,0.34252,0.79845,0.82284,0.81848,0.83709,0.59104,0.793,0.33164,0.77241,1.54251e-05,1.54251e-05,1.54251e-05
103,40288.9,0.78634,0.33624,0.79786,0.82287,0.81809,0.837,0.59095,0.79327,0.33146,0.77246,1.34744e-05,1.34744e-05,1.34744e-05
104,40636.9,0.79335,0.33735,0.79771,0.82313,0.81771,0.83697,0.59063,0.7934,0.33144,0.77251,1.19553e-05,1.19553e-05,1.19553e-05
105,40987.6,0.78961,0.33778,0.79773,0.82314,0.81755,0.83717,0.59091,0.79361,0.33164,0.77253,1.08694e-05,1.08694e-05,1.08694e-05
106,41334.8,0.79407,0.3393,0.79799,0.82504,0.81611,0.83706,0.59064,0.79375,0.33172,0.77257,1.08532e-05,1.08532e-05,1.08532e-05
107,41428.2,0.7912,0.33557,0.80009,0.82431,0.81641,0.83705,0.59066,0.79376,0.33174,0.77257,1.02133e-05,1.02133e-05,1.02133e-05
